Section,Section 2,Article Name,Venue,Year,Author List,About,Link,Date added
Survey papers,,A Survey on LLM-as-a-Judge,arXiv,2024,Jiawei Gu; Xuhui Jiang; Zhichao Shi; Hexiang Tan; Xuehao Zhai; Chengjin Xu; Wei Li; Yinghan Shen; Shengjie Ma; Honghao Liu; Saizhuo Wang; Kun Zhang; Yuanzhuo Wang; Wen Gao; Lionel Ni; Jian Guo,"This survey provides a comprehensive overview of the LLM-as-a-Judge paradigm, defining the field, organizing prior work into a unified framework, and focusing especially on how to build more reliable judge systems. It reviews methods for improving consistency and reducing bias, proposes ways to evaluate judge reliability, and introduces a benchmark for systematic meta-evaluation.",https://arxiv.org/abs/2411.15594,4/1/26
Survey papers,,From Generation to Judgment: Opportunities and Challenges of LLM-as-a-judge,EMNLP,2025,Dawei Li; Bohan Jiang; Liangjie Huang; Alimohammad Beigi; Chengshuai Zhao; Zhen Tan; Amrita Bhattacharjee; Yuxuan Jiang; Canyu Chen; Tianhao Wu; Kai Shu; Lu Cheng; Huan Liu,"This paper is a comprehensive survey of the LLM-as-a-judge paradigm, defining it from both input and output perspectives and organizing the field around three core questions: what to judge, how to judge, and how to benchmark judge systems. It also synthesizes the main opportunities, open challenges, and future directions for using LLMs as evaluators in open-ended AI and NLP settings.",https://aclanthology.org/2025.emnlp-main.138/,4/1/26
Survey papers,,Leveraging Large Language Models for NLG Evaluation: Advances and Challenges,EMNLP,2024,Zhen Li; Xiaohan Xu; Shen Tao; Can Xu; Jia-Chen Gu; Yuxuan Lai; Chongyang Tao; Shuai Ma,"This paper surveys how large language models are being used for natural language generation evaluation, proposing a taxonomy of LLM-based evaluation methods and comparing their strengths and limitations across NLG settings. It also highlights key open challenges—especially bias, robustness, domain specificity, and the lack of unified evaluation standards—to guide future work on fairer and more reliable evaluation.",https://aclanthology.org/2024.emnlp-main.896/,4/1/26
Survey papers,,LLMs-as-Judges: A Comprehensive Survey on LLM-based Evaluation Methods,arXiv,2024,"Haitao Li, Qian Dong, Junjie Chen, Huixue Su, Yujia Zhou, Qingyao Ai, Ziyi Ye, Yiqun Liu","This paper surveys the LLM-as-a-judge paradigm from five angles—functionality, methodology, applications, meta-evaluation, and limitations—offering a broad framework for understanding why, where, and how LLM judges are used. It also emphasizes how to evaluate judge systems themselves and outlines major limitations and future research directions for making LLM-based evaluation more trustworthy and useful in practice.",https://arxiv.org/abs/2412.05579,4/1/26
Survey papers,,"LLM-based NLG Evaluation:
Current Status and Challenges",Computational Linguistics,2025,Mingqi Gao; Xinyu Hu; Xunjian Yin; Jie Ruan; Xiao Pu; Xiaojun Wan,"This paper surveys the emerging area of LLM-based evaluation for natural language generation, organizing prior work into four main approaches: LLM-derived metrics, prompting-based evaluation, fine-tuned judge models, and human–LLM collaborative evaluation. It also analyzes the strengths and weaknesses of these approaches and highlights key open challenges for making LLM-based evaluation more robust, efficient, and reliable.",https://aclanthology.org/2025.cl-2.9.pdf,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,Systematic Biases in Judge LLMs,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS,2023,"Lianmin Zheng, Wei-Lin Chiang, Ying Sheng, Siyuan Zhuang, Zhanghao Wu, Yonghao Zhuang, Zi Lin, Zhuohan Li, Dacheng Li, Eric P. Xing, Hao Zhang, Joseph E. Gonzalez, Ion Stoica","This paper is a foundational study of the LLM-as-a-judge paradigm, showing that strong models such as GPT-4 can approximate human preferences on open-ended chatbot evaluation while also documenting key judge biases, including position, verbosity, and self-enhancement bias. It introduces MT-Bench and Chatbot Arena as benchmark frameworks for evaluating conversational assistants and argues that LLM judges can provide a scalable, explainable complement to human evaluation for open-ended systems.",https://neurips.cc/virtual/2023/poster/73434,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,PandaLM: An Automatic Evaluation Benchmark for LLM Instruction Tuning Optimization,ICLR,2024,Yidong Wang; Zhuohao Yu; Zhengran Zeng; Linyi Yang; Cunxiang Wang; Hao Chen; Chaoya Jiang; Rui Xie; Jindong Wang; Xing Xie; Wei Ye; Shikun Zhang; Yue Zhang,"This paper introduces PandaLM, a fine-tuned judge LLM designed to automatically evaluate instruction-tuned models by comparing candidate responses along both objective and subjective dimensions such as clarity, conciseness, and instruction adherence. It argues that PandaLM can provide a cheaper, reproducible alternative to API-based or human evaluation, and shows that using it to guide hyperparameter selection improves downstream model quality.",https://arxiv.org/abs/2306.05087,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,From Crowdsourced Data to High-Quality Benchmarks: Arena-Hard and BenchBuilder Pipeline,ICML,2025,Tianle Li; Wei-Lin Chiang; Evan Frick; Lisa Dunlap; Tianhao Wu; Banghua Zhu; Joseph E. Gonzalez; Ion Stoica,"This paper introduces BenchBuilder, an automated pipeline for constructing difficult open-ended evaluation benchmarks, and uses it to create Arena-Hard-Auto, a benchmark that aligns closely with human preference rankings while better separating model performance than MT-Bench. It is relevant to judge LLMs because such benchmarks provide the evaluation infrastructure needed to test whether LLM judges rank model outputs in ways that track human preferences, especially on challenging prompts.",https://icml.cc/virtual/2025/poster/45630,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,Systematic Biases in Judge LLMs,MLLM-as-a-Judge: Assessing Multimodal LLM-as-a-Judge with Vision-Language Benchmark,ICML,2024,Dongping Chen; Ruoxi Chen; Shilin Zhang; Yaochen Wang; Yinuo Liu; Huichi Zhou; Qihui Zhang; Yao Wan; Pan Zhou; Lichao Sun,"This paper introduces MLLM-as-a-Judge, a benchmark for evaluating whether multimodal LLMs can act as judges across vision-language tasks using scoring, pairwise comparison, and batch ranking settings. It shows that while models can be reasonably human-aligned in pairwise comparison, they still exhibit substantial reliability problems—including bias, hallucination, and inconsistency—in other judging modes, making the paper highly relevant to judge-LLM research in the multimodal setting.",https://arxiv.org/abs/2402.04788,4/1/26
Practitioner guides and blog posts,,Using LLM-as-a-Judge For Evaluation: A Complete Guide,Personal blog,2024,Hamel Husain,"A practitioner-focused guide to building LLM judges for real evaluation workflows, with concrete advice on rubric design, calibration, and common implementation mistakes. It is especially useful for teams deploying evals in production settings.",https://hamel.dev/blog/posts/llm-judge/,4/1/26
